            identifier             ,       coord                           ,  Mag V
HD 205314                          ,21 32 56.5920346080 +49 58 39.478477980,5.755
* pi.02 Cyg                        ,21 46 47.6083178 +49 18 34.451096      ,4.18
HD 210715                          ,22 11 09.8935953888 +50 49 24.294385812,5.377
* bet Lac                          ,22 23 33.6237466 +52 13 44.564655      ,4.44
HD 214878                          ,22 40 18.4069877640 +53 50 45.336101820,5.92
V* V1022 Cas                       ,23 57 08.4720606576 +55 42 20.539344420,5.561
HD 4222                            ,00 45 17.1736522992 +55 13 17.030998092,5.41
HD 3240                            ,00 36 08.3101957104 +54 10 06.419675676,5.076
* zet Cas                          ,00 36 58.2841866 +53 53 48.867311      ,3.66
HD 2952                            ,00 33 10.3944926208 +54 53 41.949623868,5.922
* lam Cas A                        ,00 31 46.316736 +54 31 20.32284        ,5.35
HD 6211                            ,01 04 02.3905242984 +52 30 07.782640236,5.977
* mu. Cas                          ,01 08 16.3029454473 +54 55 12.561201263,5.17
HD 11151                           ,01 50 57.1281289032 +51 56 00.303705744,5.951
* 2 Per                            ,01 52 09.3723086736 +50 47 34.054111608,5.689
* 65 And                           ,02 25 37.4229761208 +50 16 43.063334724,4.71
* 63 And                           ,02 20 58.2015432888 +50 09 05.385224196,5.59
* 64 And                           ,02 24 24.9159941400 +50 00 23.555997036,5.19
HD 17656                           ,02 51 41.7299294160 +46 50 30.990321528,5.859
* kap Per                          ,03 09 29.8036400506 +44 51 26.849828627,3.81
* 30 Per                           ,03 17 47.3530021152 +44 01 30.081905148,5.476
* l Per                            ,03 21 26.5587601200 +43 19 46.743124584,4.946
V* IW Per                          ,03 33 35.0341163808 +39 53 58.116630120,5.776
HD 193322A                         ,20 18 06.9878053728 +40 43 55.501814100,5.958
HD 193092                          ,20 16 55.2856987776 +40 21 54.273252420,5.236
HD 193322                          ,20 18 06.98820 +40 43 55.5001          ,5.84
* alf Cyg                          ,20 41 25.91514 +45 16 49.2197          ,1.25
HD 198345                          ,20 47 49.2864749208 +47 49 54.724960056,5.586
* 55 Cyg                           ,20 48 56.2915921440 +46 06 50.883645024,4.86
HD 199612                          ,20 56 25.8955286856 +49 11 44.992296924,5.913
* f02 Cyg                          ,21 06 36.0938154 +47 38 54.249030      ,4.514
* f01 Cyg                          ,20 59 49.5541247496 +47 31 15.363746436,4.75
HD 199478                          ,20 55 49.8039729168 +47 25 03.564093468,5.64
HD 203245                          ,21 19 28.7504447592 +49 30 37.060318296,5.74
HD 203644                          ,21 22 00.4181510352 +49 23 19.850097156,5.671
* pi.01 Cyg                        ,21 42 05.6645818 +51 11 22.641518      ,4.66
HD 209419                          ,22 01 50.5866647688 +52 52 56.100144360,5.776
V* V416 Lac                        ,22 38 37.9233049091 +56 47 44.277881218,5.167
HD 213930                          ,22 33 40.6494305424 +56 37 29.055508932,5.72
HD 216174                          ,22 49 46.3147714872 +55 54 09.996118956,5.439
V* V509 Cas                        ,23 00 05.1012218544 +56 56 43.350876312,5.13
HD 219134                          ,23 13 16.9749603608 +57 10 06.083823619,5.57
V* AR Cas                          ,23 30 01.9406369832 +58 32 56.112185112,4.886
* tau Cas                          ,23 47 03.4543856136 +58 39 07.167728628,4.873
HD 223173                          ,23 47 01.9184555184 +57 27 04.892546304,5.503
* rho Cas                          ,23 54 23.0325302520 +57 29 57.774737400,4.59
V* V373 Cas                        ,23 55 33.8386958472 +57 24 43.807358448,6
* alf Cas                          ,00 40 30.4410679 +56 32 14.392170      ,2.23
* eta Cas                          ,00 49 06.2945942922 +57 48 54.638239716,3.44
* tet Cas                          ,01 11 06.1622468 +55 08 59.647259      ,4.33
* 1 Per                            ,01 51 59.3200840608 +55 08 50.583693732,5.52
* g Per                            ,02 02 18.1084057296 +54 29 15.145135980,5.04
* tet Per                          ,02 44 11.9866154103 +49 13 42.414669174,4.11
HD 18474                           ,02 59 49.7897133000 +47 13 14.567181096,5.485
* nu. Per                          ,03 45 11.6320341 +42 34 42.782888      ,3.8
HD 192985                          ,20 16 00.6155322192 +45 34 46.290085536,5.864
HD 194152                          ,20 22 05.3676486336 +45 47 41.997669324,5.572
V* V2015 Cyg                       ,20 33 54.8435604456 +46 41 37.867484940,5.769
* 51 Cyg                           ,20 42 12.6305206584 +50 20 24.066965544,5.401
HD 199611                          ,20 56 25.4774838120 +50 43 42.948296868,5.82
HD 199955                          ,20 58 30.03385 +50 27 42.4409          ,5.9
HD 200817                          ,21 03 47.6224016568 +53 17 09.282047244,5.918
HD 201834                          ,21 10 15.5733223584 +53 33 47.162825784,5.747
HD 204428                          ,21 26 44.9697592824 +52 53 54.730425048,5.987
HD 208095                          ,21 52 01.0393576752 +55 47 48.298534764,5.657
* 13 Cep                           ,21 54 53.1538880928 +56 36 40.415024952,5.8
* 14 Cep                           ,22 02 04.5726270264 +58 00 01.309758516,5.542
* zet Cep                          ,22 10 51.2769159 +58 12 04.545587      ,3.35
HD 211554                          ,22 16 26.5631295408 +57 13 12.857307492,5.882
* del Cep                          ,22 29 10.2650184 +58 24 54.713856      ,3.75
HD 216595                          ,22 53 03.7845125472 +60 06 03.711574080,5.984
* 1 Cas                            ,23 06 36.8178557 +59 25 11.135698      ,4.84
* 2 Cas                            ,23 09 44.1389006784 +59 19 57.687059136,5.679
HD 220369                          ,23 22 32.5327535256 +60 08 00.552165504,5.513
* bet Cas                          ,00 09 10.68518 +59 08 59.2120          ,2.27
HD 1239                            ,00 16 57.0431385504 +61 31 59.468659896,5.737
V* V567 Cas                        ,00 05 06.1508805192 +61 18 50.292327564,5.791
HD 224893                          ,00 01 37.0160378616 +61 13 22.079486208,5.567
HD 3283                            ,00 36 27.3446327760 +60 19 34.367545740,5.792
HD 2626                            ,00 30 19.9344223392 +59 58 39.189476856,5.94
HD 5015                            ,00 53 04.1964421920 +61 07 26.299289856,4.8
HD 5408                            ,00 56 46.97166 +60 21 46.2192          ,5.566
* ups01 Cas                        ,00 55 00.1557027792 +58 58 21.717145956,4.82
* ups02 Cas                        ,00 56 39.9051464088 +59 10 51.805287084,4.622
* gam Cas                          ,00 56 42.5317 +60 43 00.265            ,2.39
HD 6676                            ,01 08 33.4662629952 +58 15 48.425007852,5.767
* chi Cas                          ,01 33 55.8814773504 +59 13 55.394091516,4.681
HD 9353                            ,01 33 25.7075838384 +58 19 38.449163964,5.709
* phi Cas                          ,01 20 04.9164665856 +58 13 53.807643876,4.98
HD 9900                            ,01 38 07.5665016360 +57 58 39.475310304,5.536
* i Per                            ,02 22 21.4343107056 +55 50 44.350353276,5.17
HD 16735                           ,02 42 59.5232301744 +53 31 33.986370504,5.835
* tau Per                          ,02 54 15.4777208304 +52 45 44.882735292,3.96
HD 18537                           ,03 00 52.2110264304 +52 21 06.248122308,5.219
* 29 Per                           ,03 18 37.7416927200 +50 13 19.834697676,5.157
* 31 Per                           ,03 19 07.6392847536 +50 05 41.889763428,5.032
* sig Per                          ,03 30 34.4853660216 +47 59 42.778854240,4.36
HD 21551                           ,03 30 36.9521337744 +48 06 12.973490460,5.82
HD 21699                           ,03 32 08.6084197968 +48 01 24.528548676,5.461
HD 19845                           ,03 13 23.8723102200 +48 10 37.040462112,5.913
HD 20809                           ,03 23 13.1970566400 +49 12 47.774817972,5.3
Cl Melotte 20 772                  ,03 27 58.9118912976 +49 01 10.301866968,4.989
* 36 Per                           ,03 32 26.2592647368 +46 03 24.701606568,5.32
HD 23300                           ,03 45 59.2599323352 +45 40 54.837597144,5.655
HD 23838                           ,03 50 04.4251512960 +44 58 04.328639760,5.657
V* V376 Per                        ,03 49 08.1097674384 +43 57 47.301643260,5.97
HD 189684                          ,19 59 20.4240504504 +45 46 21.149697252,5.933
* 30 Cyg                           ,20 13 18.0538639656 +46 48 56.430951948,4.819
* omi02 Cyg                        ,20 15 28.3242122880 +47 42 51.213932496,3.98
* 43 Cyg                           ,20 27 02.2674936096 +49 23 00.104394552,5.715
* ome01 Cyg                        ,20 30 03.5409459288 +48 57 05.640569208,4.936
* ome02 Cyg                        ,20 31 18.8165476392 +49 13 13.063792944,5.44
V* U Cyg                           ,20 19 36.5946317760 +47 53 39.096681828,5.9
HD 202987                          ,21 17 14.2473299064 +55 47 52.805982876,5.975
HD 206267                          ,21 38 57.6195772032 +57 29 20.554016280,5.62
* mu. Cep                          ,21 43 30.4610574 +58 46 48.160181      ,4.08
HD 210939                          ,22 12 02.0156316240 +60 45 32.752286424,5.359
* lam Cep                          ,22 11 30.5765111040 +59 24 52.154264880,5.05
HD 216380A                         ,22 51 22.6292242752 +61 41 48.269322384,5.931
* 4 Cas                            ,23 24 50.2623747 +62 16 58.109355      ,4.955
* 10 Cas                           ,00 06 26.5373262768 +64 11 46.168691820,5.59
* 9 Cas                            ,00 04 13.6624530168 +62 17 15.591230916,5.884
* 12 Cas                           ,00 24 47.5054725480 +61 49 51.808098288,5.377
* kap Cas                          ,00 32 59.9911963 +62 55 54.417374      ,4.16
HD 6210                            ,01 04 19.4510863152 +61 34 48.662237964,5.833
* del Cas                          ,01 25 48.9514709 +60 14 07.022507      ,2.68
* 44 Cas                           ,01 43 19.7566701600 +60 33 04.796911692,5.76
HD 12953                           ,02 08 40.5790963584 +58 25 24.970714608,5.68
* 8 Per                            ,02 17 59.8872270144 +57 53 59.356756392,5.748
* 11 Per                           ,02 43 02.8380253536 +55 06 21.666195864,5.753
* eta Per                          ,02 50 41.8095904 +55 53 43.787576      ,3.79
* gam Per                          ,03 04 47.7907410 +53 30 23.168725      ,2.93
HD 20123                           ,03 16 12.2028107016 +50 56 15.605186388,5.03
* alf Per                          ,03 24 19.3700924 +49 51 40.245455      ,1.79
HD 21362                           ,03 28 52.3279117200 +49 50 54.188026800,5.572
* 34 Per                           ,03 29 22.05019 +49 30 32.2114          ,4.735
HD 21278                           ,03 28 03.0707602272 +49 03 46.325803896,4.97
* psi Per                          ,03 36 29.3798227 +48 11 33.478941      ,4.23
* del Per                          ,03 42 55.5042561 +47 47 15.174633      ,3.01
* 14 Cyg                           ,19 39 26.4926212920 +42 49 05.741064084,5.4
HD 188209                          ,19 51 59.0687638680 +47 01 38.419078944,5.63
* del Cyg                          ,19 44 58.4785413 +45 07 50.916066      ,2.87
HD 186155                          ,19 40 50.1841239 +45 31 29.787129      ,5.056
HD 188252                          ,19 52 07.1662436976 +47 55 54.461806320,5.897
* e Cyg                            ,20 01 21.5633865408 +50 06 16.895812680,5.048
V* V414 Cep                        ,20 44 22.0517095896 +56 29 18.258708552,5.95
HD 200205                          ,20 59 25.3846975896 +59 26 18.960547380,5.526
HD 200614                          ,21 02 09.00594 +56 40 10.6097          ,5.83
HD 203338                          ,21 19 15.6852148728 +58 37 24.624258456,5.75
* nu. Cep                          ,21 45 26.9247788 +61 07 14.899897      ,4.29
HD 205139                          ,21 30 59.2916490744 +60 27 33.954560208,5.522
* 12 Cep                           ,21 47 25.2953357808 +60 41 33.679451364,5.514
* 9 Cep                            ,21 37 55.2241394424 +62 04 54.990376788,4.73
HD 209112                          ,21 58 53.5232440200 +62 41 52.757357064,5.979
HD 207198                          ,21 44 53.2791389640 +62 27 38.048647248,5.94
* 19 Cep                           ,22 05 08.7897533088 +62 16 47.332569936,5.11
V* VV Cep                          ,21 56 39.1438495 +63 37 32.017439      ,4.9
HD 211029                          ,22 12 22.4490606144 +63 17 27.725834760,5.778
* 25 Cep                           ,22 18 12.6478522512 +62 48 15.804136584,5.741
* 18 Cep                           ,22 03 52.9770442632 +63 07 11.715055428,5.3
* 20 Cep                           ,22 05 00.4988376072 +62 47 08.416311036,5.265
* ksi Cep                          ,22 03 47.45499 +64 37 40.7128          ,4.29
* 26 Cep                           ,22 27 05.3104700184 +65 07 56.160347196,5.515
* 30 Cep                           ,22 38 39.0517588680 +63 35 04.096947876,5.188
* iot Cep                          ,22 49 40.8169435 +66 12 01.463616      ,3.54
HD 223128                          ,23 46 36.7365639936 +66 46 56.081325468,5.937
HD 225216                          ,00 04 41.9813008512 +67 09 59.202435852,5.676
HD 225009                          ,00 02 36.0926537328 +66 05 56.268043296,5.842
HD 3856                            ,00 42 03.4206195912 +66 08 51.335930688,5.821
HD 4775                            ,00 50 43.5977451408 +64 14 51.249546240,5.362
HD 5550                            ,00 58 31.0619888328 +66 21 06.457611996,5.97
* 32 Cas                           ,01 11 41.4024150336 +65 01 07.873790052,5.564
HD 6960                            ,01 11 25.5710702328 +64 12 09.640350540,5.548
HD 10780                           ,01 47 44.8344358038 +63 51 09.011001993,5.63
* eps Cas                          ,01 54 23.7340861680 +63 40 12.360238788,3.37
HD 20041                           ,03 15 47.9705004096 +57 08 26.243459556,5.79
* k Per                            ,03 05 32.4115072032 +56 42 20.587724352,4.766
HD 21447                           ,03 30 00.1828170168 +55 27 06.506069256,5.09
HD 21819                           ,03 33 39.0599978496 +54 58 29.497029888,5.969
HD 24240                           ,03 53 38.6973079584 +48 39 01.788636672,5.76
HD 24504                           ,03 55 58.1738380032 +47 52 17.123015028,5.379
* c Per                            ,04 08 39.6921578 +47 42 45.042937      ,4.03
HD 185351                          ,19 36 37.9768465728 +44 41 41.761562352,5.169
HD 182694                          ,19 23 56.5004975856 +43 23 17.407385700,5.853
* psi Cyg                          ,19 55 37.7885799288 +52 26 20.180456736,5.02
* 33 Cyg                           ,20 13 23.8666139 +56 34 03.799925      ,4.271
HD 195554                          ,20 29 27.1108477224 +56 04 05.490194052,5.912
HD 193592A                         ,20 18 24.755 +55 23 49.40              ,6
HD 193592                          ,20 18 24.75071 +55 23 49.5490          ,5.76
* alf Cep                          ,21 18 34.77233 +62 35 08.0681          ,2.46
* 6 Cep                            ,21 19 22.2202464 +64 52 18.682115      ,5.18
HD 208682                          ,21 55 30.99976 +65 19 14.9142          ,5.86
HD 218029                          ,23 03 32.8824892536 +67 12 33.158391444,5.23
HD 223274                          ,23 47 54.7708751688 +67 48 24.512513328,5.044
* 31 Cas                           ,01 10 39.3224064744 +68 46 43.041646164,5.309
* psi Cas                          ,01 25 56.0223813 +68 07 48.045998      ,4.727
* 43 Cas                           ,01 42 20.5269432072 +68 02 34.890489276,5.59
HD 11946                           ,01 59 38.0376593064 +64 37 17.760134928,5.278
* 53 Cas                           ,02 03 00.1876117560 +64 23 24.064866924,5.614
* 52 Cas                           ,02 02 52.4758999152 +64 54 05.270442264,5.986
HD 17948                           ,02 55 56.9208409368 +61 31 16.094508276,5.584
C 0255+602                         ,02 59 18.0 +60 24 00                   ,5.9
HD 21389                           ,03 29 54.7436040912 +58 52 43.496880384,4.54
* lam Per                          ,04 06 35.0435954 +50 21 04.549959      ,4.29
* mu. Per                          ,04 14 53.8625277 +48 24 33.591168      ,4.16
* d Per                            ,04 21 33.1662438000 +46 29 55.964841936,4.812
HD 184293                          ,19 31 19.3307715408 +50 18 24.138385416,5.54
* tet Cyg                          ,19 36 26.5343563 +50 13 15.964573      ,4.48
V* V1743 Cyg                       ,19 33 41.6060468328 +49 15 44.347514508,5.96
* 16 Cyg A                         ,19 41 48.9534996168 +50 31 30.219536784,5.95
* d Cyg                            ,19 50 37.7235287221 +52 59 16.790345304,5.03
HD 192781                          ,20 13 27.6162878448 +60 38 26.050279164,5.78
* tet Cep                          ,20 29 34.9052664336 +62 59 38.797205460,4.22
* eta Cep                          ,20 45 17.3755540 +61 50 19.616737      ,3.41
* 7 Cep                            ,21 27 46.1418220704 +66 48 32.749138404,5.41
HD 210884                          ,22 10 38.7894437040 +70 07 57.268863804,5.52
HD 213022                          ,22 26 00.8234699928 +70 46 15.252263184,5.469
HD 220974                          ,23 27 16.6294176888 +70 21 35.217101376,5.6
V* V388 Cep                        ,23 15 37.7393154216 +70 53 17.094451632,5.55
HD 221861                          ,23 34 59.0427914904 +71 38 31.359003828,5.84
HD 4440                            ,00 48 09.1027214832 +72 40 28.188023664,5.855
HD 7389                            ,01 16 11.9019176448 +71 44 37.825280484,5.86
* 42 Cas                           ,01 42 55.8632768160 +70 37 21.092102580,5.174
* ome Cas                          ,01 56 00.0283006680 +68 41 06.863913852,4.968
HD 16769                           ,02 44 49.6970326656 +67 49 28.672325868,5.945
HD 16024                           ,02 37 36.0690716208 +65 44 43.209496752,5.781
HD 19065                           ,03 07 18.9785125632 +64 03 27.478027080,5.877
HD 21291                           ,03 29 04.1328896160 +59 56 25.201164588,4.22
HD 22764                           ,03 42 42.7369929720 +59 58 09.802899408,5.78
HD 24141                           ,03 53 43.2862495392 +57 58 30.526296888,5.786
HD 26764                           ,04 16 43.0917102168 +53 36 42.480779580,5.187
* b02 Per                          ,04 20 11.5125754224 +50 55 15.365023320,5.545
HD 27084                           ,04 19 13.2132944256 +50 02 55.350197772,5.4
* b Per                            ,04 18 14.6168986 +50 17 43.805740      ,4.594
* 59 Per                           ,04 42 54.3364299960 +43 21 54.432760320,5.298
BD+49 2959                         ,19 12 05.02501 +49 51 20.7003          ,5.85
* iot01 Cyg                        ,19 27 25.9593028584 +52 19 13.577767572,5.75
* iot Cyg                          ,19 29 42.3587204 +51 43 47.205830      ,3.755
* 23 Cyg                           ,19 53 17.3781586824 +57 31 24.506900436,5.132
HD 189276                          ,19 55 55.3786911120 +58 50 45.487067280,4.96
* 71 Dra                           ,20 19 36.7272071568 +62 15 26.797556412,5.709
* 66 Dra                           ,20 05 32.8779525960 +61 59 43.513091952,5.408
* 68 Dra                           ,20 11 34.8718185624 +62 04 42.771751284,5.7
HD 194298                          ,20 21 11.5242408336 +63 58 48.422618040,5.69
* 4 Cep                            ,20 43 11.0211392808 +66 39 26.810352432,5.6
* bet Cep                          ,21 28 39.5968513 +70 33 38.574681      ,3.23
* 78 Dra                           ,21 43 04.0432859016 +72 19 12.307929132,5.173
* 24 Cep                           ,22 09 48.4306626240 +72 20 28.339730448,4.786
* pi. Cep                          ,23 07 53.85377 +75 23 14.9951          ,4.41
* pi. Cep A                        ,23 07 53.8713362280 +75 23 15.039087324,4.61
HD 219485                          ,23 14 37.1050796664 +74 13 52.577578380,5.89
HD 222386                          ,23 39 10.1743271688 +75 17 34.373610168,5.946
HD 222387                          ,23 39 21.1373683176 +74 00 09.639206568,5.973
* 23 Cas                           ,00 47 46.0538925192 +74 50 51.251241300,5.413
* 21 Cas                           ,00 45 39.0765692400 +74 59 17.054172672,5.652
* 40 Cas                           ,01 38 30.9179034432 +73 02 24.137576448,5.281
Cl Collinder 463                   ,01 48 07.4 +71 44 17                   ,5.7
* 48 Cas                           ,02 01 57.45035 +70 54 25.2902          ,4.54
* 48 Cas A                         ,02 01 57.436802 +70 54 25.43225        ,4.63
* 50 Cas                           ,02 03 26.1061810 +72 25 16.657747      ,3.938
V* SU Cas                          ,02 51 58.7511911208 +68 53 18.606894036,5.8
HD 20336                           ,03 19 59.2693390128 +65 39 08.285606820,4.85
V* CQ Cam                          ,03 24 40.5567179496 +64 35 09.579866928,5.19
HD 23523                           ,03 49 36.5859186816 +63 17 49.051788468,5.817
HD 24479                           ,03 57 25.4445994728 +63 04 20.149755960,5.04
HD 23089                           ,03 46 02.3314926384 +63 20 42.211540464,4.81
V* BD Cam                          ,03 42 09.3255143544 +63 13 00.468590376,5.11
HD 25291                           ,04 04 27.1629402984 +59 09 19.832668272,5.12
HD 24480                           ,03 57 08.2895322360 +61 06 31.986146592,5.05
HD 26755                           ,04 17 08.0935256520 +57 51 37.151263908,5.721
HD 27322                           ,04 21 51.8062341936 +56 30 22.735067076,5.92
* 1 Cam                            ,04 32 01.84227 +53 54 39.0450          ,5.772
NAME * 2 Cam AB                    ,04 39 58.037136 +53 28 23.61900        ,5.56
* 3 Cam                            ,04 39 54.6810448896 +53 04 46.327454940,5.073
HD 29721                           ,04 43 21.5945231424 +49 58 25.636438704,5.856
HD 29526                           ,04 41 24.1285097472 +48 18 03.165290280,5.652
HD 30557                           ,04 51 09.3214674576 +48 44 26.394386136,5.643
HD 175824                          ,18 54 47.1269593464 +48 51 33.852890016,5.836
* 16 Lyr                           ,19 01 26.3826174888 +46 56 05.147482164,5.006
V* LV Dra                          ,19 00 13.6777912704 +50 32 00.478630500,5.377
* 51 Dra                           ,19 04 55.1654401944 +53 23 47.960875608,5.38
* kap Cyg                          ,19 17 06.1686516 +53 22 06.453375      ,3.76
V* V1762 Cyg                       ,19 08 25.7885833200 +52 25 32.631746052,5.893
* 53 Dra                           ,19 11 40.5809009832 +56 51 33.139912284,5.125
* 54 Dra                           ,19 13 55.1148285240 +57 42 18.286411716,5.003
HD 182190                          ,19 20 16.0385592000 +57 38 42.437561424,5.91
* e Dra                            ,20 01 28.5443420208 +64 49 15.514785408,5.27
V* AC Dra                          ,20 20 06.0116763312 +68 52 49.144172700,5.55
* rho Dra                          ,20 02 49.0726835 +67 52 24.829427      ,4.5
HD 201636                          ,21 06 23.3019303168 +71 25 54.472096488,5.877
HD 214035                          ,22 32 16.2246408240 +76 13 35.187719268,5.7
HD 214710                          ,22 37 12.9654175848 +75 22 18.520600224,5.777
* 49 Cas                           ,02 05 31.5501321720 +76 06 54.216449424,5.22
HD 15920                           ,02 38 02.0331728856 +72 49 05.710593144,5.166
HD 23005                           ,03 46 00.9400234704 +67 12 05.768204220,5.782
V* BE Cam                          ,03 49 31.2775482648 +65 31 33.525822504,4.48
HD 26670                           ,04 16 53.5560892104 +61 50 59.967116520,5.7
HD 27245                           ,04 21 47.6491713792 +60 44 08.246072688,5.398
* 4 Cam                            ,04 48 00.2729226024 +56 45 25.836947712,5.275
HD 31134                           ,04 56 07.0723806720 +52 52 11.054427096,5.74
